1775456757.299797723 rtt_ms=1.535 rttvar_ms=0.428 cwnd=331 bytes_sent=13580904 bytes_received=37 unacked=0 delivery_rate_bps=47141688 retrans= conn="ESTAB 0      2423840 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.334639336 rtt_ms=1.813 rttvar_ms=0.28 cwnd=353 bytes_sent=15915712 bytes_received=37 unacked=2 delivery_rate_bps=682910688 retrans= conn="ESTAB 0      2176344 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.368465302 rtt_ms=1.806 rttvar_ms=0.888 cwnd=353 bytes_sent=16332504 bytes_received=37 unacked=0 delivery_rate_bps=359751552 retrans= conn="ESTAB 0      2799920 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.394887091 rtt_ms=1.806 rttvar_ms=0.888 cwnd=353 bytes_sent=16332504 bytes_received=37 unacked=0 delivery_rate_bps=359751552 retrans= conn="ESTAB 0      2799920 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.420215977 rtt_ms=1.806 rttvar_ms=0.888 cwnd=353 bytes_sent=16332504 bytes_received=37 unacked=0 delivery_rate_bps=359751552 retrans= conn="ESTAB 0      2799920 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.448041720 rtt_ms=1.806 rttvar_ms=0.888 cwnd=353 bytes_sent=16332504 bytes_received=37 unacked=0 delivery_rate_bps=359751552 retrans= conn="ESTAB 0      2799920 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.479907439 rtt_ms=2.328 rttvar_ms=0.833 cwnd=371 bytes_sent=18004648 bytes_received=37 unacked=0 delivery_rate_bps=372279104 retrans= conn="ESTAB 0      2235496 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.513936311 rtt_ms=3.257 rttvar_ms=0.682 cwnd=371 bytes_sent=18936944 bytes_received=37 unacked=167 delivery_rate_bps=991234224 retrans= conn="ESTAB 0      2652736 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.546838022 rtt_ms=1.889 rttvar_ms=0.201 cwnd=371 bytes_sent=20885952 bytes_received=37 unacked=1 delivery_rate_bps=770399032 retrans= conn="ESTAB 0      2678800 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.581487435 rtt_ms=2.02 rttvar_ms=0.941 cwnd=371 bytes_sent=21123264 bytes_received=37 unacked=0 delivery_rate_bps=367035544 retrans= conn="ESTAB 0      2440040 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
